Track URI,Track Name,Artist Name(s),Album Name,Genres,Tempo,Energy,Valence,Danceability,Duration (ms),Source
spotify:track:2nNdrstKD15nN3xR0KspgS,Brass in Pocket - 2018 Remaster,Pretenders,Pretenders (2018 Remaster),,98.216,0.623,0.801,0.774,184266,Rock_Classics
spotify:track:1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,Buffalo Springfield,"folk rock,country rock",98.883,0.519,0.822,0.653,153693,Rock_Classics
spotify:track:51cFoZgKkZJhQa9iHy0EcD,Talk to Me,The Record Company,Talk to Me,"blues rock,blues modern,blues",99.004,0.914,0.794,0.676,242576,Pure_Rock_&_Roll
spotify:track:47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,Millennium,,99.039,0.694,0.482,0.689,213306,mix_alegre
spotify:track:73TxYZd0lBCVRrHawrAglA,Sweet Emotion,Aerosmith,Toys In The Attic,"rock clásico,rock",99.436,0.76,0.491,0.379,274088,Pure_Rock_&_Roll
spotify:track:50JK22El2PTIzZBU2liLDI,Mysterious Ways,U2,Achtung Baby (Deluxe Edition),rock,99.768,0.659,0.697,0.674,243586,Pure_Rock_&_Roll
spotify:track:2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,Origins (Deluxe),,99.994,0.611,0.22,0.704,189466,Radio_Imagine_Dragons
spotify:track:2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),Avicii;Aloe Blacc,TIM,edm,100.001,0.645,0.376,0.802,157202,This_Is_Avicii
spotify:track:10WIipFI4uGVY6lW1WMKqd,Headlights (feat. KIDDO),Alok;Alan Walker;KIDDO,Headlights (feat. KIDDO),"graves brasileños,electrónica,slap house,electro house",100.013,0.748,0.304,0.627,158400,This_Is_Alan_Walker
spotify:track:1rDETmcizen79JghAEm1Se,Gonna Love Ya,Avicii,Stories,edm,100.014,0.666,0.699,0.718,215813,This_Is_Avicii
spotify:track:1DIufDXVYrsEbQgXcnZ7Ni,Adagio,Alan Walker,Adagio,,100.031,0.425,0.526,0.588,185214,This_Is_Alan_Walker
spotify:track:1zLJEnxuZBgPbwMrDMiZAf,Sopa fría,M-Clan,Sopa fria,,100.049,0.862,0.805,0.61,242760,"Pachangueo_80,_90_y_00"
spotify:track:5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),"grunge,post-grunge",100.127,0.842,0.586,0.297,206773,Rock_Classics
spotify:track:7JF65QwbU9rtZrLYLLnNE7,Don't Wanna Fight,Alabama Shakes,Sound & Color (Deluxe Edition),,100.31,0.919,0.563,0.618,232546,Pure_Rock_&_Roll
spotify:track:6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Guns N' Roses,Appetite For Destruction,"rock,glam metal,hard rock,rock clásico",100.316,0.98,0.39,0.268,405600,Rock_Classics
spotify:track:0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),"glam rock,art rock",100.456,0.449,0.549,0.486,254293,Rock_Classics
spotify:track:0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,Arrival,,100.804,0.87,0.754,0.543,230400,Radio_Black_or_White
spotify:track:4tXR895KKljrC2VptgyEhJ,La Gota Fria,Carlos Vives,Clasicos de la Provincia,"tropipop,vallenato,pop latino,latina",100.848,0.809,0.964,0.718,215493,mix_alegre
