Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1lpGsHdCpWiTvrFitLakBo,"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii Forever","Avicii;Nicky Romero",2025-05-16,208316,61,false,,2025-09-18T08:22:30Z,"edm,big room,house progresivo,electro house","Universal Music AB",0.513,0.744,6,-5.712,0,0.0375,0.341,0.000164,0.284,0.608,127.94,4
spotify:track:6kXNnS7JJz0nAv4XEwEmQJ,"Heart Upon My Sleeve (feat. Imagine Dragons)","TIM","Avicii;Imagine Dragons",2019-06-06,254165,66,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.588,0.601,4,-5.983,0,0.0332,0.316,0,0.148,0.38,126.06,3
spotify:track:52RK8UVEDgUAgpecOpTQM3,"You Make Me","True","Avicii",2013-09-16,233346,69,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,4
spotify:track:7kbTZWt7DnzIzbkyzFE1PW,"For A Better Day","Stories","Avicii",2015-10-02,206066,68,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.639,0.843,5,-3.393,1,0.0334,0.0386,0.0829,0.108,0.317,135.002,4
spotify:track:4CznlctarxgWvy3NoMFfMH,"Lonely Together","Avicii Forever","Avicii;Rita Ora",2025-05-16,181730,58,false,,2025-09-18T08:22:30Z,"edm","Universal Music AB",0.632,0.596,5,-7.858,1,0.0706,0.156,0.0000414,0.101,0.285,103.111,4
spotify:track:0vrmHPfoBadXVr2n0m1aqZ,"Heaven","TIM","Avicii",2019-06-06,277261,68,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
spotify:track:2hLczPN5CH5qhc6J4WBJHs,"My Feelings For You - Mark Knight Remix","My Feelings For You (Mark Knight Remix)","Avicii;Sebastien Drums;Mark Knight",2022-07-15,224515,59,false,,2025-09-18T08:22:30Z,"edm,tech house,house,disco house,funky house,house progresivo","Vicious",0.728,0.95,11,-4.216,0,0.0977,0.0055,0.00386,0.33,0.812,124.003,4
spotify:track:260jSxvzkFt71ksvkcy2ke,"Broken Arrows","Stories","Avicii",2015-10-02,232760,67,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.63,0.666,7,-7.186,1,0.045,0.0481,0.000567,0.104,0.288,115.973,4
spotify:track:3o1CUVeHIid49sabk6A6Nf,"Forever Yours - Avicii Tribute","Forever Yours (Avicii Tribute)","Kygo;Avicii;Sandro Cavazza",2020-01-24,193846,63,false,,2025-09-18T08:22:30Z,"tropical house,edm","Universal Music AB",0.529,0.612,10,-8.794,1,0.052,0.253,0,0.246,0.434,119.272,4
spotify:track:6Bs0CmAaVP5pCmeAbIdlv2,"Silhouettes","Avicii Forever","Avicii",2025-05-16,211880,55,false,,2025-09-18T08:22:30Z,"edm","Universal Music AB",0.604,0.814,5,-5.836,0,0.0564,0.134,0.0316,0.13,0.848,128.063,4
