Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ZnkygoWLzcGbQYCm3lkae,"Rush","Something To Give Each Other","Troye Sivan",2023-10-13,156391,81,true,,2026-05-29T04:01:29Z,"","EMI Recorded Music Australia Pty Ltd",0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,4
spotify:track:3BKD1PwArikchz2Zrlp1qi,"Baby Don't Hurt Me","Baby Don't Hurt Me","David Guetta;Anne-Marie;Coi Leray",2023-04-06,140017,80,false,,2026-05-29T04:01:29Z,"edm","Parlophone UK",0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,4
spotify:track:59NraMJsLaMCVtwXTSia8i,"Prada","Prada","cassö;RAYE;D-Block Europe",2023-08-11,132359,83,true,,2026-05-29T04:01:29Z,"hipertechno,grime,drill británico","Ministry of Sound Recordings",0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Where Are You Now","Where Are You Now","Lost Frequencies;Calum Scott",2021-07-30,148197,80,false,,2026-05-29T04:01:29Z,"tropical house,pop suave","Epic Amsterdam",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4
spotify:track:0h3Xy4V4apMraB5NuM8U7Z,"Stumblin' In","Stumblin' In","CYRIL",2023-11-10,213363,84,false,,2026-05-29T04:01:29Z,"","Spinnin' Records",0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
spotify:track:1LY3GhF0zxIVgbYEQjCbUO,"The Sound of Silence - CYRIL Remix","The Sound of Silence (CYRIL Remix)","Disturbed;CYRIL",2024-02-02,185238,82,false,,2026-05-29T04:01:29Z,"metal,nu metal,metal alternativo,rap metal,hard rock","Spinnin' Records",0.68,0.721,6,-4.379,0,0.188,0.123,0,0.162,0.244,125.963,4
spotify:track:4R3BIyY00WxYVZOmgrFp1Y,"Your Love - Diplo Remix","Your Love (Diplo Remix)","The Outfield;Diplo",2024-04-19,155625,62,false,,2026-05-29T04:01:29Z,"moombahton","Columbia",0.682,0.809,1,-5.508,1,0.0753,0.00219,0.284,0.159,0.499,127.968,4
spotify:track:2Rhh3ZhukJfTKoBVzIYTaf,"Murder On The Dancefloor - PNAU Remix","Murder On The Dancefloor (PNAU Remix)","Sophie Ellis-Bextor;PNAU",2024-02-09,260006,67,false,,2026-05-29T04:01:29Z,"","UMC (Universal Music Catalogue)",0.696,0.827,4,-4.628,1,0.139,0.0924,0,0.0899,0.787,116,4
spotify:track:23RoR84KodL5HWvUTneQ1w,"(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou",2023-06-15,231545,78,false,,2026-05-29T04:01:29Z,"","XL Recordings",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
spotify:track:1Jv5SF45pxopNs7TXn8hAQ,"Free (Do What U Want) - LP Giobbi Club Edit","Free (Do What U Want) (feat. Jules Buckley)","Pete Tong;Ultra Naté;LP Giobbi;Jules Buckley",2023-01-13,241920,50,false,,2026-05-29T04:01:29Z,"techno melódico,house","Ministry of Sound Recordings",0.555,0.823,5,-5.823,0,0.0389,0.0262,0.000493,0.112,0.0797,124.977,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,,2026-05-29T04:01:29Z,"stutter house,r&b alternativo","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:76UVi3tz2rpTOPtvstIoK2,"Get Busy - Odd Mob Club Mix","Get Busy (Odd Mob Club Mix)","Sean Paul;Odd Mob",2024-05-24,165909,70,false,,2026-05-29T04:01:29Z,"dancehall,tech house,bass house","Spinnin' Records",0.77,0.942,11,-5.548,0,0.192,0.00472,0,0.101,0.615,132.08,4
spotify:track:780be5fB7823aHG06mwTat,"Baianá","The Ringmaster","Bakermat",2020-10-09,180842,76,false,,2026-05-29T04:01:29Z,"tropical house","Columbia/B1 Recordings",0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964,4
spotify:track:48lxT5qJF0yYyf2z4wB4xW,"Pedro","Pedro","Jaxomy;Agatino Romero;Raffaella Carrà",2024-03-29,144562,76,false,,2026-05-29T04:01:29Z,"","Columbia/B1 Recordings/Ultra Records",0.788,0.936,9,-6.294,1,0.301,0.0229,0.0000013,0.311,0.844,151.019,4
spotify:track:5ZUIPLoTLJZrPQh2kFZEUM,"Addicted","Addicted","Zerb;The Chainsmokers;Ink",2024-03-29,152250,80,true,,2026-05-29T04:01:29Z,"afro house","TH3RD BRAIN",0.771,0.741,5,-7.132,0,0.0374,0.0245,0.000163,0.111,0.19,120.064,4
spotify:track:0vYSTV1Lye2Z2zktF6P39C,"WHERE IS MY HUSBAND! - Remix","WHERE IS MY HUSBAND! (Remix)","RAYE;David Guetta;Hypaton",2025-11-14,153768,74,false,,2026-05-29T04:01:29Z,"edm","Human Re Sources",0.578,0.973,10,-3.432,1,0.0334,0.00731,0.0288,0.0845,0.491,127.983,4
spotify:track:6e2OwnkapOwUDfhz6AP9iC,"Pump It Up","Pump It Up","Endor",2019-09-13,150635,75,false,,2026-05-29T04:01:29Z,"","Defected Records",0.899,0.894,1,-7.255,1,0.222,0.203,0.0000995,0.0606,0.654,129.045,4
spotify:track:58caScGqKTQIDDJQ7QnJU8,"Cola - ARTBAT Remix","Cola (ARTBAT Remix)","CamelPhat;Elderbrook;ARTBAT",2025-08-08,188160,61,false,,2026-05-29T04:01:29Z,"techno melódico,house,house progresivo,house melódico,tech house,techno","Defected Records",0.682,0.94,1,-5.085,1,0.0538,0.0633,0.127,0.0934,0.71,124.99,4
spotify:track:0lwyzp7GppQxv0Eu6wRkUo,"Satisfaction","Satisfaction","David Guetta;Benny Benassi",2022-08-12,155676,73,false,,2026-05-29T04:01:29Z,"edm,electro house","Spinnin' Records",0.752,0.935,11,-6.263,1,0.203,0.0742,0.0352,0.081,0.31,126.022,4
spotify:track:78nx0HDJIFD5xDq2L5420Z,"Blessings","Blessings","Calvin Harris;Clementine Douglas",2025-05-09,219650,86,false,,2026-05-29T04:01:29Z,"edm","Columbia",0.721,0.875,11,-4.125,0,0.0557,0.0022,0.0285,0.0888,0.642,129.913,4
spotify:track:4qDpLaFGf5ampf2DXD2TMA,"Where You Are","Where You Are","John Summit;HAYLA",2023-03-03,236000,71,false,,2026-05-29T04:01:29Z,"house,tech house","Experts Only/Darkroom Records",0.567,0.83,9,-6.402,0,0.0349,0.00879,0.0105,0.529,0.0726,126.04,4
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,"Rasputin","Rasputin","Majestic;Boney M.",2021-02-26,186209,82,false,,2026-05-29T04:01:29Z,"disco","NITRON music",0.758,0.913,6,-2.926,0,0.113,0.00364,0.0000692,0.193,0.658,128.04,4
spotify:track:1wVU8sMkX489OGwVRm2LIy,"Ain't It Fun","Ain't It Fun","Wuki",2025-05-02,184302,62,false,,2026-05-29T04:01:29Z,"","BREAKAWAY",0.687,0.931,4,-5.055,1,0.166,0.0226,0.0000639,0.899,0.499,125.955,4
spotify:track:7jrMFjEq0t09f7m3HnnWXl,"Tell Me Why - MEDUZA Remix","Tell Me Why (MEDUZA Remix)","Supermode;MEDUZA",2022-09-02,171428,71,false,,2026-05-29T04:01:29Z,"hipertechno","Axtone Records",0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988,4
spotify:track:7xFy1kfgGWJWTpx1vSHBLi,"It Feels So Good","It Feels So Good","Matt Sassari;HUGEL;Sonique",2024-11-01,160973,80,false,,2026-05-29T04:01:29Z,"tech house,house latino,afro house,techengue,house","Cr2 Records",0.704,0.82,5,-5.663,0,0.0282,0.0034,0.000134,0.261,0.84,128.007,4
spotify:track:1vr6OT3o3Amd1SXCr5TlWh,"Ten Out Of Ten","Ten Out Of Ten","R3HAB;ROU",2025-07-04,155500,52,false,,2026-05-29T04:01:29Z,"slap house,edm","Tomorrowland Music",0.868,0.631,1,-6.608,0,0.0746,0.0143,0.0000601,0.268,0.685,126.934,4
spotify:track:31nfdEooLEq7dn3UMcIeB5,"Vois sur ton chemin - Techno Mix","Vois sur ton chemin (Techno Mix)","BENNETT",2023-08-04,178156,81,false,,2026-05-29T04:01:29Z,"hipertechno,techno","Warner Music Central Europe",0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
spotify:track:2Lb9ww5vZAnveWnrFQfAKR,"New Religion","New Religion","Bebe Rexha;Faithless",2026-03-06,174400,84,false,,2026-05-29T04:01:29Z,"trip hop","Bebe Rexha Music LLC / EMPIRE",0.663,0.919,11,-3.313,0,0.0346,0.0338,0.0000213,0.0666,0.347,127.98,4
spotify:track:3yyWrz4CsVzkWPuxtZflov,"Take Me Home, Country Roads","Take Me Home, Country Roads","KSHMR",2024-06-21,177600,57,false,,2026-05-29T04:01:29Z,"big room,edm,slap house,electrónica","Dharma",0.492,0.944,10,-3.999,1,0.278,0.00956,0.00195,0.0711,0.107,149.975,4
spotify:track:5ZduaRci3iNUiDfJbBfAaf,"Give It To Me - Full Vocal Mix","Give It To Me (Full Vocal Mix)","Matt Sassari",2021-10-22,102860,79,false,,2026-05-29T04:01:29Z,"tech house","Cr2 Records",0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,4
spotify:track:29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On","Disclosure",2024-05-29,226773,76,false,,2026-05-29T04:01:29Z,"house","Disorder",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
spotify:track:6kTwzV93qpcovlRPmBOXmn,"World Hold On (Children Of The Sky) - FISHER Rework","World Hold On (Children Of The Sky) [FISHER Rework]","Bob Sinclar;FISHER;Steve Edwards",2022-07-08,178304,81,false,,2026-05-29T04:01:29Z,"house francés,disco house,tech house,house","Yellow Productions",0.771,0.883,1,-5.242,0,0.0584,0.00605,0.00579,0.135,0.894,127.008,4
spotify:track:3GiORO0zRwRT3g9CCklzkQ,"It's That Time - FISHER Remix","It's That Time (FISHER Remix)","Marlon Hoffstadt;FISHER",2024-06-21,171717,73,false,,2026-05-29T04:01:29Z,"hard house,eurodance,techno,tech house,house","Method 808, distributed by gamma.",0.865,0.978,0,-4.29,1,0.0471,0.00136,0.381,0.0766,0.936,130.008,4
spotify:track:5xalbHoIf0F0AmuTKlm2Ct,"No Room For A Saint (From F1® The Movie)","No Room For A Saint (From F1® The Movie)","Dom Dolla;Nathan Nicholson;F1 The Album",2025-05-16,236128,62,false,,2026-05-29T04:01:29Z,"house,tech house","Atlantic Records",0.637,0.824,0,-4.94,1,0.0599,0.00115,0.808,0.212,0.751,132.012,4
spotify:track:3wo3d0I5H8KjkwGvnz8WbB,"Somedays","Somedays","Sonny Fodera;Jazzy;D.O.D",2024-07-26,207168,76,false,,2026-05-29T04:01:29Z,"house","Solotoko",0.671,0.753,4,-6.045,0,0.0298,0.019,0.0000129,0.177,0.543,127.926,4
